"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",549391367
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",230556758
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",8146508
4,"Foodstuffs",421,"Miscellaneous edible preparations",42102,"Yeast",59231
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",130866040
4,"Foodstuffs",421,"Miscellaneous edible preparations",42104,"Soups and Broths",7070273
4,"Foodstuffs",421,"Miscellaneous edible preparations",42105,"Ice Cream",7808233
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",108758168
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",325186
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42202,"Flavored Water",140426830
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42203,"Beer",6106142
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42204,"Wine",487010
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42205,"Vermouth",26.000000000000004
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42206,"Other Fermented Beverages",158069
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42207,"Alcohol > 80% ABV",563141
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",22988138
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42209,"Vinegar",12357264
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42301,"Animal Meal and Pellets",19262066
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42302,"Bran",2538299
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42303,"Starch Residue",301626
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42304,"Soybean Meal",143474
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42305,"Ground Nut Meal",13300
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42306,"Other Vegetable Residues",91441283
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42307,"Wine Lees",442.99999999999994
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42308,"Other Vegetable Residues and Waste",738673
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42309,"Animal Food",5400906
4,"Foodstuffs",424,"Tobacco & substitutes",42401,"Raw Tobacco",219434166
4,"Foodstuffs",424,"Tobacco & substitutes",42402,"Rolled Tobacco",287005348
4,"Foodstuffs",424,"Tobacco & substitutes",42403,"Processed Tobacco",164024083
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52501,"Salt",146485
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52502,"Iron Pyrites",1666610
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52503,"Sulphur",13221663
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52504,"Graphite",126
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52505,"Sand",15431834
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52506,"Quartz",37277
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52507,"Kaolin",329
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52508,"Clays",30198
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52509,"Chalk",74.00000000000001
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52512,"Siliceous Fossil Meals",25275
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52513,"Pumice",20506
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52515,"Marble, Travertine and Alabaster",218587
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52516,"Granite",18851
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52517,"Gravel and Crushed Stone",1748744
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52518,"Dolomite",13632564
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52519,"Magnesium Carbonate",4794
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52520,"Gypsum",69
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52521,"Limestone",5156529
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52522,"Quicklime",1752
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52523,"Cement",2309209
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52525,"Mica",26.000000000000004
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52526,"Soapstone",3825
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52530,"Other Mineral",4266463
5,"Mineral Products",526,"Ores, slag and ash",52601,"Iron Ore",178320703
5,"Mineral Products",526,"Ores, slag and ash",52603,"Copper Ore",800274272
5,"Mineral Products",526,"Ores, slag and ash",52604,"Nickel Ore",1288147194
5,"Mineral Products",526,"Ores, slag and ash",52605,"Cobalt Ore",151
5,"Mineral Products",526,"Ores, slag and ash",52607,"Lead Ore",621142
5,"Mineral Products",526,"Ores, slag and ash",52608,"Zinc Ore",290963
5,"Mineral Products",526,"Ores, slag and ash",52609,"Tin Ores",145
5,"Mineral Products",526,"Ores, slag and ash",52610,"Chromium Ore",18061399
5,"Mineral Products",526,"Ores, slag and ash",52613,"Molybdenum Ore",149282.99999999997
5,"Mineral Products",526,"Ores, slag and ash",52616,"Precious Metal Ore",3285728
5,"Mineral Products",526,"Ores, slag and ash",52617,"Other Ores",2397
5,"Mineral Products",526,"Ores, slag and ash",52618,"Granulated Slag",1202635
5,"Mineral Products",526,"Ores, slag and ash",52619,"Slag Dross",11765
5,"Mineral Products",526,"Ores, slag and ash",52620,"Non-Iron and Steel Slag, Ash and Residues",19083017
5,"Mineral Products",526,"Ores, slag and ash",52621,"Other Slag and Ash",6562
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52701,"Coal Briquettes",1110404970
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52702,"Lignite",449531198.99999994
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52704,"Coke",12314
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52707,"Coal Tar Oil",79738324
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52709,"Crude Petroleum",385479367
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",34234221
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52711,"Petroleum Gas",23472455
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52712,"Petroleum Jelly",492203
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52713,"Petroleum Coke",238765
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52715,"Asphalt Mixtures",196
6,"Chemical Products",628,"Inorganic chemicals",62801,"Halogens",4029
6,"Chemical Products",628,"Inorganic chemicals",62802,"Sulfur",1183181
6,"Chemical Products",628,"Inorganic chemicals",62803,"Carbon",293160
6,"Chemical Products",628,"Inorganic chemicals",62804,"Hydrogen",34265271
6,"Chemical Products",628,"Inorganic chemicals",62805,"Alkaline Metals",489080
6,"Chemical Products",628,"Inorganic chemicals",62806,"Hydrochloric Acid",4431
6,"Chemical Products",628,"Inorganic chemicals",62807,"Sulfuric Acid",47797910
6,"Chemical Products",628,"Inorganic chemicals",62809,"Phosphoric Acid",68218341
6,"Chemical Products",628,"Inorganic chemicals",62810,"Boron",1416.9999999999998
6,"Chemical Products",628,"Inorganic chemicals",62811,"Other Inorganic Acids",725589
6,"Chemical Products",628,"Inorganic chemicals",62812,"Halides",57700
6,"Chemical Products",628,"Inorganic chemicals",62814,"Ammonia",62024
6,"Chemical Products",628,"Inorganic chemicals",62815,"Sodium or Potassium Peroxides",261557
6,"Chemical Products",628,"Inorganic chemicals",62817,"Zinc Oxide and Peroxide",6409117
6,"Chemical Products",628,"Inorganic chemicals",62818,"Aluminium Oxide",5528
6,"Chemical Products",628,"Inorganic chemicals",62821,"Iron Oxides and Hydroxides",52285
6,"Chemical Products",628,"Inorganic chemicals",62823,"Titanium Oxides",5847
6,"Chemical Products",628,"Inorganic chemicals",62824,"Lead Oxides",174580
6,"Chemical Products",628,"Inorganic chemicals",62825,"Inorganic Salts",17522256
6,"Chemical Products",628,"Inorganic chemicals",62826,"Fluorides",17017
6,"Chemical Products",628,"Inorganic chemicals",62827,"Chlorides",57801
6,"Chemical Products",628,"Inorganic chemicals",62828,"Hypochlorites",3291
6,"Chemical Products",628,"Inorganic chemicals",62829,"Chlorates and Perchlorates",22616
6,"Chemical Products",628,"Inorganic chemicals",62830,"Sulfides",35892979
6,"Chemical Products",628,"Inorganic chemicals",62833,"Sulfates",4492463
6,"Chemical Products",628,"Inorganic chemicals",62835,"Phosphinates (hypophosphites) and phosphonates (phosphites)",55323.00000000001
6,"Chemical Products",628,"Inorganic chemicals",62836,"Carbonates",27267992
6,"Chemical Products",628,"Inorganic chemicals",62839,"Silicates",35615
